mesh name,alignment_x,alignment_y,alignment_y
m1308.ply,0.005200973574844666,0.001062381143827275,0.12209969385538087
m1446.ply,0.9996921162772084,0.0014222973680034369,0.0014254522993715829
m1320.ply,0.0040336736598410375,0.988093769405159,0.008698399194597304
m1334.ply,0.0031815820520196053,0.008717125945266803,0.008858043369157529
m1452.ply,0.2858929052446446,0.28600900550105574,0.9997877682968007
m1485.ply,0.04545144908409838,0.032902221987447695,0.06884182080240384
m1491.ply,0.04191511930752855,0.06396969926708394,0.0685853087078672
m1122.ply,0.9976772457651637,0.9999309204625716,0.9976170478116074
m1136.ply,0.9997933136887073,0.9999506401298592,0.9997446055372156
m1268.ply,0.9986873345558979,0.9997625455066489,0.998911783466491
m1532.ply,0.001000942195721168,0.0020276488880451096,0.023421134287709575
m1254.ply,0.03572361679455812,0.0018508113175468937,0.0025296112756703583
m1240.ply,0.008315581402968045,0.04301244039340519,0.002727231578267117
m1526.ply,0.00011512767524387648,0.0007027951391634493,0.007445216577344723
m1297.ply,0.0005357106192758375,0.0005341795670661421,0.9999713182368843
m1283.ply,0.01443284949162758,0.013869304017344727,0.9897616296240311
m1282.ply,0.9992088485586923,0.9999999999985922,0.9992088485572985
m1296.ply,0.005987908893868133,0.005924370752524819,0.9997347415110258
m737.ply,0.0008988818453793109,0.04338248411617562,0.0006755136366358603
m1241.ply,0.9997529246028131,0.9999999062613051,0.9997529744641714
m1527.ply,0.7545269618806157,0.13876591844092695,0.11853262609262247
m1533.ply,0.0007180481910672199,0.008051054203171,0.016318139246500003
m1255.ply,0.9999759830365793,0.00043349227083167496,0.0004325054451549164
m1269.ply,0.011203285192514054,0.011190578613610617,0.9999219089991036
m1137.ply,0.006843185292698652,0.006843087165423033,0.9994923701632837
m1123.ply,0.9915402300965558,0.9999996640998361,0.9915404732072846
m1490.ply,0.9991155466834881,0.9988094277288491,0.999630122162102
m1484.ply,0.0013999729891575397,0.9970531106280952,0.0001896407123617172
m1335.ply,0.0002489134380525246,0.00021449412905593006,0.09243468507412063
m1453.ply,0.007776038607727297,0.9997935541075789,0.00785216547479662
m1447.ply,0.00010084086841927187,0.9999871036262612,9.86584598505424e-05
m1321.ply,0.009438904348860752,0.9942422320431872,0.010783174042408318
m1309.ply,0.9939757447252301,0.9932462287441894,0.9970834711634627
m1479.ply,0.9885604881791937,0.9885427102126846,0.9999223789759837
m1451.ply,0.0004188531998278598,0.14739886562701046,0.002231623326946984
m1337.ply,0.1261040585281107,0.038846275952587474,0.7743095285057238
m1323.ply,0.006703986401709467,0.9868264414761941,0.008122500980127775
m1445.ply,0.9996502508301632,0.035292711337118074,0.03563685876388586
m1492.ply,0.0029710270778877017,0.024093353867738757,0.04543211109793098
m1486.ply,0.0017155007649145564,0.011600422025379541,0.07529952891210374
m1135.ply,0.025076120331525904,0.025185828398712994,0.9995343710120758
m1121.ply,0.9959020342096815,0.9998920030031635,0.9957994323633768
m1519.ply,0.000498980513811087,0.0013711865303288435,0.013814743787492777
m1525.ply,0.0010214571320986132,0.0010232363092258499,0.9999970805103326
m1243.ply,0.0003484283876391416,5.6035325332556747e-05,0.025587517948981783
m1257.ply,0.005812968904421159,0.0057896950746754725,0.9998439448804503
m1531.ply,0.9996670185021201,0.00018824040587564483,0.00019028515788030285
m1280.ply,0.044077250706315144,0.04538886945887624,0.980539667349445
m1294.ply,0.0024498905174068,0.0024469375675293466,0.9999414628835224
m1295.ply,0.006702761981158395,0.006702545881978937,0.9999995429437751
m1281.ply,0.9961779916390133,0.9999977419044396,0.99618023055508
m1256.ply,0.0018366749439042817,0.00021931899044226561,0.01773818062978462
m1530.ply,0.9998749815733683,3.157487464902673e-06,4.859375077578099e-07
m1524.ply,3.584457581171967e-05,0.0002962689762401361,0.03237358344111604
m1242.ply,0.9999970782131385,0.999999957805336,0.999997036088351
m1518.ply,0.0005454403942416804,0.006474286522787896,0.01980372602098624
m1120.ply,0.9999960799604318,0.12632405895925966,0.12632039276550142
m1134.ply,0.0002626895520490959,0.0002630259481650973,0.9992357989285684
m1487.ply,0.0005968747365933531,0.001328153483216322,0.0063301139519081236
m1493.ply,0.053351258615296514,0.07865993928814044,0.07423814158588676
m1322.ply,0.008658791746408216,0.01965375372025143,0.8895297739938074
m1444.ply,0.00419806229864789,0.993876619596848,0.001521754710184574
m1450.ply,0.0034669230030907605,0.9983956705981353,0.003645933691166668
m1336.ply,0.05151135931563202,0.05308810138036187,0.039313679356928234
m1478.ply,0.9833319464622927,0.983206983320011,0.9997578528561202
m1332.ply,0.013395686777572757,0.009352830969420505,0.06463894857767291
m1454.ply,0.00012634208165352914,0.9921360581839346,0.0003960347217793841
m1440.ply,0.9988890239971762,0.5582685314090119,0.5588753123456147
m1326.ply,0.9885983827262089,0.015642070020301695,0.020297510766437512
m1468.ply,0.999891955181881,0.999933918142214,0.999825887328089
m1497.ply,0.9970013579182414,0.003147735204119932,0.0032669587036359814
m1483.ply,0.014591440790736005,0.9987700315432939,0.01430638570896685
m1130.ply,0.9998881357992903,0.011204138985270676,0.011298611642228213
m1124.ply,0.9998954494364826,0.9999927180419205,0.9999024228871719
m1118.ply,0.9999944344029849,0.16194176039035874,0.1619414729973414
m1246.ply,0.00027847706978249983,0.0011704437128734915,0.024291765214048064
m1520.ply,0.014864365010266124,0.014728339540085372,0.9995595653437169
m1534.ply,0.0024362996581333007,0.001480568372427976,0.0076249491563072785
m1252.ply,0.9999157620985915,0.9999961979644719,0.9999132334532759
m1508.ply,0.9999244279286041,0.0011562934809935844,0.0010896694491568067
m1285.ply,0.027108083742255946,0.1399381670505479,0.2976558203488165
m1291.ply,0.8268449747280533,0.8262394326758499,0.9993573976474058
m1290.ply,0.07292007652557014,0.07304196850187375,0.9996012515196264
m1284.ply,0.0007714361405103829,0.11122279803278394,4.710499011962074e-05
m1509.ply,0.01111217787813218,0.001658488613873384,0.013901502696579885
m1535.ply,0.005907174461919588,0.0073546827048311695,0.00969270567070656
m1253.ply,0.9995973679996392,0.9999995767901414,0.9995975795167974
m1247.ply,0.01136657781512216,0.02503949738771688,0.07316850273844075
m1521.ply,0.00113747618673964,2.231507519899419e-05,0.031029247150804205
m1119.ply,0.9987722713470202,0.09316626492387849,0.09340934420738417
m1125.ply,0.0011870476694466454,0.0011735487478504345,0.999541196235022
m1131.ply,0.9977933345216623,0.9999996207581067,0.9977936786320568
m1482.ply,0.9968633710755863,0.012274186130172744,0.012293200616215213
m1496.ply,0.0006084300451009711,0.004839297836052318,0.012536767598034267
m1469.ply,4.10377843737575e-05,0.9973862239651301,3.589602753339971e-05
m1441.ply,0.9981251703295264,0.9979735606821841,0.999821993877479
m1327.ply,0.004058806093895586,0.15234095893056282,0.03114159368141876
m1333.ply,0.002961657226732945,0.0046381119937175435,0.002693281536835529
m1455.ply,0.0014031083516417018,0.9828958196517119,0.00036079196783839207
m1325.ply,0.03000502768709193,0.032702803526649595,0.9893794136055936
m1443.ply,0.0009420026758623956,0.999320832268804,0.0011477693679426528
m1457.ply,0.006268687215975568,0.9997141158553091,0.006539118650672375
m1331.ply,0.9982126654158937,0.02574430163953008,0.025500957319575846
m1319.ply,0.9948246163559278,0.9999291763180506,0.9947672893311604
m1480.ply,0.013575657807834044,0.9981057422001052,0.011702572677965274
m1494.ply,0.2130678253336668,0.11616565714686612,0.04800727445110623
m1127.ply,0.9998410528444744,0.9999999993616226,0.9998410528901907
m1133.ply,0.9990568373661057,0.9999787436662758,0.9990457629097486
m1251.ply,0.0028446946567373286,0.024409918196716895,0.0712354016432535
m1537.ply,0.04483392244971382,0.012960490504468809,0.03250156482304086
m1523.ply,0.9997844026041643,0.3631967994718926,0.36311958141606504
m1245.ply,0.03152131476022254,0.018445266451109495,0.07272883864055692
m1279.ply,0.0816492997198231,0.08210187180863943,0.9995011312511309
m1292.ply,0.9992623136843438,0.9996260377021491,0.9996349138732114
m1286.ply,0.9968966667963096,0.9999997317521017,0.9968969298256988
m1287.ply,0.05096989332053158,0.05098602281584933,0.999902006352402
m1293.ply,0.028624232444846808,0.028533798725474766,0.9995814175005779
m1278.ply,0.998242465262165,0.9999999972408669,0.9982424676802155
m1522.ply,0.006265331043096266,0.0011793197772044753,0.017167460458668814
m1244.ply,0.004941853524888326,0.0092282130710585,0.022106577880260374
m1250.ply,0.9827345652185996,0.005478258982071598,0.005385775065972035
m1536.ply,0.5096413342127553,0.08357781187934485,0.0013155870077226682
m1132.ply,0.9998860687827308,0.9999462958873426,0.9998387170411981
m1126.ply,0.9997149817974691,0.9999775834448602,0.999696373904922
m1495.ply,0.9999470858025921,0.9999988077701861,0.9999468026201634
m1481.ply,0.0005281074658956468,0.9999555887223505,0.0005638089201063002
m1318.ply,0.9955401918638711,0.9999999662844621,0.995540158249762
m1456.ply,0.01929090700284067,0.0192825222310925,0.9999875528292782
m1330.ply,0.016540814561711505,0.9930632799135436,0.01411029424822412
m1324.ply,0.0021334702015077256,0.9991862296375105,0.0020088953546913437
m1442.ply,0.00010083262424021829,0.9998932267217452,6.122564818507794e-05
m1419.ply,0.9999331897524874,0.9999999812882655,0.9999332074934149
m1343.ply,0.20946472482171358,0.11236242297256152,0.24902602375829733
m1425.ply,0.009960044348282461,0.0017390192575440363,0.045879456326338997
m1431.ply,0.9992780817167528,0.9992772909185418,0.9999991717742654
m1357.ply,0.9999277246839001,0.001163716386608168,0.0011139214805695546
m1380.ply,0.9995006606433671,0.006617763301226475,0.006711560882050711
m1394.ply,0.002828809050697001,0.02347205696858971,0.2641167097555593
m1169.ply,0.0028446946567373286,0.024409918196716895,0.0712354016432535
m1141.ply,0.9999983951147878,0.13819375522149135,0.13819254469785103
m1155.ply,0.0021971775884238854,0.0002995033762603835,0.19464250130491825
m1182.ply,0.6837287367358658,0.6873082229157423,0.9962944355212352
m1196.ply,0.9999786818774463,0.9999999977640519,0.9999786796418024
m1579.ply,0.0037722522811868752,0.9998420955021411,0.0037177055438653494
