mesh name,corner1x,corner1y,corner1z,corner2x,corner2y,corner2z,corner3x,corner3y,corner3z,corner4x,corner4y,corner4z,corner5x,corner5y,corner5z,corner6x,corner6y,corner6z,corner7x,corner7y,corner7z,corner8x,corner8y,corner8z
m1308.ply,-0.5346916913986206,-0.5090581774711609,-0.104922816157341,0.4653083086013794,-0.5090581774711609,-0.104922816157341,0.4653083086013794,0.42782044410705566,-0.104922816157341,-0.5346916913986206,0.42782044410705566,-0.104922816157341,-0.5346916913986206,-0.5090581774711609,0.09457837045192719,0.4653083086013794,-0.5090581774711609,0.09457837045192719,0.4653083086013794,0.42782044410705566,0.09457837045192719,-0.5346916913986206,0.42782044410705566,0.09457837045192719
m1446.ply,-0.4859256148338318,-0.145822674036026,-0.07136431336402893,0.5140743851661682,-0.145822674036026,-0.07136431336402893,0.5140743851661682,0.08132870495319366,-0.07136431336402893,-0.4859256148338318,0.08132870495319366,-0.07136431336402893,-0.4859256148338318,-0.145822674036026,0.07081659138202667,0.5140743851661682,-0.145822674036026,0.07081659138202667,0.5140743851661682,0.08132870495319366,0.07081659138202667,-0.4859256148338318,0.08132870495319366,0.07081659138202667
m1320.ply,-0.6358036398887634,-0.17943470180034637,-0.3795728087425232,0.36419638991355896,-0.17943470180034637,-0.3795728087425232,0.36419638991355896,0.1366373896598816,-0.3795728087425232,-0.6358036398887634,0.1366373896598816,-0.3795728087425232,-0.6358036398887634,-0.17943470180034637,0.3839188814163208,0.36419638991355896,-0.17943470180034637,0.3839188814163208,0.36419638991355896,0.1366373896598816,0.3839188814163208,-0.6358036398887634,0.1366373896598816,0.3839188814163208
m1334.ply,-0.5527186989784241,-0.17053645849227905,-0.416046142578125,0.4472813308238983,-0.17053645849227905,-0.416046142578125,0.4472813308238983,0.1045265942811966,-0.416046142578125,-0.5527186989784241,0.1045265942811966,-0.416046142578125,-0.5527186989784241,-0.17053645849227905,0.4147803783416748,0.4472813308238983,-0.17053645849227905,0.4147803783416748,0.4472813308238983,0.1045265942811966,0.4147803783416748,-0.5527186989784241,0.1045265942811966,0.4147803783416748
m1452.ply,-0.35944268107414246,-0.26102694869041443,-0.0599115826189518,0.6405572891235352,-0.26102694869041443,-0.0599115826189518,0.6405572891235352,0.3377608060836792,-0.0599115826189518,-0.35944268107414246,0.3377608060836792,-0.0599115826189518,-0.35944268107414246,-0.26102694869041443,0.08042886853218079,0.6405572891235352,-0.26102694869041443,0.08042886853218079,0.6405572891235352,0.3377608060836792,0.08042886853218079,-0.35944268107414246,0.3377608060836792,0.08042886853218079
m1485.ply,-0.5317766070365906,-0.22037620842456818,-0.23206175863742828,0.4682233929634094,-0.22037620842456818,-0.23206175863742828,0.4682233929634094,0.21951481699943542,-0.23206175863742828,-0.5317766070365906,0.21951481699943542,-0.23206175863742828,-0.5317766070365906,-0.22037620842456818,0.23301111161708832,0.4682233929634094,-0.22037620842456818,0.23301111161708832,0.4682233929634094,0.21951481699943542,0.23301111161708832,-0.5317766070365906,0.21951481699943542,0.23301111161708832
m1491.ply,-0.4542408883571625,-0.29192250967025757,-0.2898486256599426,0.5457591414451599,-0.29192250967025757,-0.2898486256599426,0.5457591414451599,0.2427881807088852,-0.2898486256599426,-0.4542408883571625,0.2427881807088852,-0.2898486256599426,-0.4542408883571625,-0.29192250967025757,0.2122434675693512,0.5457591414451599,-0.29192250967025757,0.2122434675693512,0.5457591414451599,0.2427881807088852,0.2122434675693512,-0.4542408883571625,0.2427881807088852,0.2122434675693512
m1122.ply,-0.5736634731292725,-0.5006557106971741,-0.1237349808216095,0.38510140776634216,-0.5006557106971741,-0.1237349808216095,0.38510140776634216,0.4993442893028259,-0.1237349808216095,-0.5736634731292725,0.4993442893028259,-0.1237349808216095,-0.5736634731292725,-0.5006557106971741,0.1666608601808548,0.38510140776634216,-0.5006557106971741,0.1666608601808548,0.38510140776634216,0.4993442893028259,0.1666608601808548,-0.5736634731292725,0.4993442893028259,0.1666608601808548
m1136.ply,-0.3567188084125519,-0.4999867081642151,-0.10294345766305923,0.20556563138961792,-0.4999867081642151,-0.10294345766305923,0.20556563138961792,0.5000132918357849,-0.10294345766305923,-0.3567188084125519,0.5000132918357849,-0.10294345766305923,-0.3567188084125519,-0.4999867081642151,0.11513067036867142,0.20556563138961792,-0.4999867081642151,0.11513067036867142,0.20556563138961792,0.5000132918357849,0.11513067036867142,-0.3567188084125519,0.5000132918357849,0.11513067036867142
m1268.ply,-0.3661320209503174,-0.4999672472476959,-0.02393735945224762,0.20773255825042725,-0.4999672472476959,-0.02393735945224762,0.20773255825042725,0.5000327229499817,-0.02393735945224762,-0.3661320209503174,0.5000327229499817,-0.02393735945224762,-0.3661320209503174,-0.4999672472476959,0.06717199832201004,0.20773255825042725,-0.4999672472476959,0.06717199832201004,0.20773255825042725,0.5000327229499817,0.06717199832201004,-0.3661320209503174,0.5000327229499817,0.06717199832201004
