mesh name,corner1x,corner1y,corner1z,corner2x,corner2y,corner2z,corner3x,corner3y,corner3z,corner4x,corner4y,corner4z,corner5x,corner5y,corner5z,corner6x,corner6y,corner6z,corner7x,corner7y,corner7z,corner8x,corner8y,corner8z
m1308.ply,-0.4658406376838684,-0.4244565963745117,-0.10347462445497513,0.5341593623161316,-0.4244565963745117,-0.10347462445497513,0.5341593623161316,0.5089067816734314,-0.10347462445497513,-0.4658406376838684,0.5089067816734314,-0.10347462445497513,-0.4658406376838684,-0.4244565963745117,0.09471520036458969,0.5341593623161316,-0.4244565963745117,0.09471520036458969,0.5341593623161316,0.5089067816734314,0.09471520036458969,-0.4658406376838684,0.5089067816734314,0.09471520036458969
m1446.ply,-0.4857296943664551,-0.08151138573884964,-0.0709708109498024,0.5142703056335449,-0.08151138573884964,-0.0709708109498024,0.5142703056335449,0.1453700214624405,-0.0709708109498024,-0.4857296943664551,0.1453700214624405,-0.0709708109498024,-0.4857296943664551,-0.08151138573884964,0.07110422104597092,0.5142703056335449,-0.08151138573884964,0.07110422104597092,0.5142703056335449,0.1453700214624405,0.07110422104597092,-0.4857296943664551,0.1453700214624405,0.07110422104597092
m1320.ply,-0.36359792947769165,-0.13602674007415771,-0.3834480047225952,0.6364020705223083,-0.13602674007415771,-0.3834480047225952,0.6364020705223083,0.18646305799484253,-0.3834480047225952,-0.36359792947769165,0.18646305799484253,-0.3834480047225952,-0.36359792947769165,-0.13602674007415771,0.3756292760372162,0.6364020705223083,-0.13602674007415771,0.3756292760372162,0.6364020705223083,0.18646305799484253,0.3756292760372162,-0.36359792947769165,0.18646305799484253,0.3756292760372162
m1334.ply,-0.4541902542114258,-0.415779709815979,-0.09263157099485397,0.5458097457885742,-0.415779709815979,-0.09263157099485397,0.5458097457885742,0.41622912883758545,-0.09263157099485397,-0.4541902542114258,0.41622912883758545,-0.09263157099485397,-0.4541902542114258,-0.415779709815979,0.16290998458862305,0.5458097457885742,-0.415779709815979,0.16290998458862305,0.5458097457885742,0.41622912883758545,0.16290998458862305,-0.4541902542114258,0.41622912883758545,0.16290998458862305
m1452.ply,-0.6548553109169006,-0.33066681027412415,-0.05926842242479324,0.34514471888542175,-0.33066681027412415,-0.05926842242479324,0.34514471888542175,0.2377133071422577,-0.05926842242479324,-0.6548553109169006,0.2377133071422577,-0.05926842242479324,-0.6548553109169006,-0.33066681027412415,0.08059797435998917,0.34514471888542175,-0.33066681027412415,0.08059797435998917,0.34514471888542175,0.2377133071422577,0.08059797435998917,-0.6548553109169006,0.2377133071422577,0.08059797435998917
m1485.ply,-0.46820011734962463,-0.22213751077651978,-0.23198755085468292,0.531799852848053,-0.22213751077651978,-0.23198755085468292,0.531799852848053,0.22024427354335785,-0.23198755085468292,-0.46820011734962463,0.22024427354335785,-0.23198755085468292,-0.46820011734962463,-0.22213751077651978,0.22914455831050873,0.531799852848053,-0.22213751077651978,0.22914455831050873,0.531799852848053,0.22024427354335785,0.22914455831050873,-0.46820011734962463,0.22024427354335785,0.22914455831050873
m1491.ply,-0.4536330997943878,-0.29242751002311707,-0.28730374574661255,0.5463669300079346,-0.29242751002311707,-0.28730374574661255,0.5463669300079346,0.24189084768295288,-0.28730374574661255,-0.4536330997943878,0.24189084768295288,-0.28730374574661255,-0.4536330997943878,-0.29242751002311707,0.20944993197917938,0.5463669300079346,-0.29242751002311707,0.20944993197917938,0.5463669300079346,0.24189084768295288,0.20944993197917938,-0.4536330997943878,0.24189084768295288,0.20944993197917938
m1122.ply,-0.5738240480422974,-0.50023353099823,-0.12016276270151138,0.3855152726173401,-0.50023353099823,-0.12016276270151138,0.3855152726173401,0.49976646900177,-0.12016276270151138,-0.5738240480422974,0.49976646900177,-0.12016276270151138,-0.5738240480422974,-0.50023353099823,0.16703522205352783,0.3855152726173401,-0.50023353099823,0.16703522205352783,0.3855152726173401,0.49976646900177,0.16703522205352783,-0.5738240480422974,0.49976646900177,0.16703522205352783
m1136.ply,-0.3565821349620819,-0.501085102558136,-0.12068838626146317,0.20585161447525024,-0.501085102558136,-0.12068838626146317,0.20585161447525024,0.498914897441864,-0.12068838626146317,-0.3565821349620819,0.498914897441864,-0.12068838626146317,-0.3565821349620819,-0.501085102558136,0.10086259245872498,0.20585161447525024,-0.501085102558136,0.10086259245872498,0.20585161447525024,0.498914897441864,0.10086259245872498,-0.3565821349620819,0.498914897441864,0.10086259245872498
m1268.ply,-0.2075776606798172,-0.49957937002182007,-0.024162311106920242,0.36722832918167114,-0.49957937002182007,-0.024162311106920242,0.36722832918167114,0.5004206299781799,-0.024162311106920242,-0.2075776606798172,0.5004206299781799,-0.024162311106920242,-0.2075776606798172,-0.49957937002182007,0.06710993498563766,0.36722832918167114,-0.49957937002182007,0.06710993498563766,0.36722832918167114,0.5004206299781799,0.06710993498563766,-0.2075776606798172,0.5004206299781799,0.06710993498563766
